"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 07:10:24 GMT 2021","Mon Aug 16 07:10:36 GMT 2021","12377","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 07:07:57 GMT 2021","Mon Aug 16 07:08:27 GMT 2021","29744","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"broken","Mon Aug 16 07:06:39 GMT 2021","Mon Aug 16 07:06:54 GMT 2021","15451","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 07:08:27 GMT 2021","Mon Aug 16 07:10:24 GMT 2021","116755","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"broken","Mon Aug 16 07:06:55 GMT 2021","Mon Aug 16 07:07:05 GMT 2021","10558","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 07:07:12 GMT 2021","Mon Aug 16 07:07:37 GMT 2021","24627","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 07:07:37 GMT 2021","Mon Aug 16 07:07:57 GMT 2021","20244","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 07:07:05 GMT 2021","Mon Aug 16 07:07:12 GMT 2021","6988","tests","con_tc_003_test","","","","test_tc_003_cookie",""
