"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 21:42:44 GMT 2021","Mon Aug 16 21:42:51 GMT 2021","6823","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 21:42:51 GMT 2021","Mon Aug 16 21:43:15 GMT 2021","24526","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 21:44:05 GMT 2021","Mon Aug 16 21:46:02 GMT 2021","116586","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"failed","Mon Aug 16 21:47:22 GMT 2021","Mon Aug 16 21:47:40 GMT 2021","17405","tests","con_tc_010_test","","","","test_tc_010_import_data",""
"passed","Mon Aug 16 21:43:35 GMT 2021","Mon Aug 16 21:44:05 GMT 2021","29730","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 21:47:40 GMT 2021","Mon Aug 16 21:47:52 GMT 2021","12254","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 21:43:15 GMT 2021","Mon Aug 16 21:43:35 GMT 2021","20220","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 21:46:46 GMT 2021","Mon Aug 16 21:47:22 GMT 2021","36004","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"broken","Mon Aug 16 21:42:19 GMT 2021","Mon Aug 16 21:42:32 GMT 2021","12628","tests","con_tc_001_test","","","","test_tc_001_registration",""
"broken","Mon Aug 16 21:42:32 GMT 2021","Mon Aug 16 21:42:44 GMT 2021","11600","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 21:46:02 GMT 2021","Mon Aug 16 21:46:46 GMT 2021","44430","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
