"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 16 19:13:24 GMT 2021","Mon Aug 16 19:13:43 GMT 2021","18495","tests","con_tc_010_test","","","","test_tc_010_import_data",""
"passed","Mon Aug 16 19:09:08 GMT 2021","Mon Aug 16 19:09:29 GMT 2021","21071","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 19:08:42 GMT 2021","Mon Aug 16 19:09:08 GMT 2021","25546","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 19:13:43 GMT 2021","Mon Aug 16 19:13:56 GMT 2021","13263","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 19:12:01 GMT 2021","Mon Aug 16 19:12:47 GMT 2021","46194","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
"passed","Mon Aug 16 19:08:14 GMT 2021","Mon Aug 16 19:08:35 GMT 2021","20415","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 19:09:59 GMT 2021","Mon Aug 16 19:12:01 GMT 2021","121164","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"passed","Mon Aug 16 19:12:47 GMT 2021","Mon Aug 16 19:13:24 GMT 2021","37277","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 19:08:35 GMT 2021","Mon Aug 16 19:08:42 GMT 2021","7111","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"broken","Mon Aug 16 19:07:54 GMT 2021","Mon Aug 16 19:08:14 GMT 2021","19975","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 19:09:29 GMT 2021","Mon Aug 16 19:09:59 GMT 2021","30780","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
