"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 05:38:53 GMT 2021","Mon Aug 16 05:39:11 GMT 2021","18259","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 05:38:23 GMT 2021","Mon Aug 16 05:38:30 GMT 2021","7041","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 05:38:30 GMT 2021","Mon Aug 16 05:38:53 GMT 2021","22500","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 05:39:38 GMT 2021","Mon Aug 16 05:39:51 GMT 2021","12375","tests","con_tc_011_test","","","","test_tc_011_logout",""
"broken","Mon Aug 16 05:38:11 GMT 2021","Mon Aug 16 05:38:23 GMT 2021","11527","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 05:39:11 GMT 2021","Mon Aug 16 05:39:38 GMT 2021","27551","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"broken","Mon Aug 16 05:38:01 GMT 2021","Mon Aug 16 05:38:11 GMT 2021","10356","tests","con_tc_001_test","","","","test_tc_001_registration",""
