"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 03:46:48 GMT 2021","Mon Aug 16 03:47:11 GMT 2021","22325","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"broken","Mon Aug 16 03:47:11 GMT 2021","Mon Aug 16 03:47:28 GMT 2021","17193","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 03:46:42 GMT 2021","Mon Aug 16 03:46:48 GMT 2021","5814","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 03:46:25 GMT 2021","Mon Aug 16 03:46:42 GMT 2021","16877","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 03:47:28 GMT 2021","Mon Aug 16 03:47:40 GMT 2021","12206","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 03:46:00 GMT 2021","Mon Aug 16 03:46:25 GMT 2021","25333","tests","con_tc_001_test","","","","test_tc_001_registration",""
