"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 02:32:27 GMT 2021","Mon Aug 16 02:32:34 GMT 2021","6727","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 02:32:56 GMT 2021","Mon Aug 16 02:33:08 GMT 2021","12171","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 02:32:10 GMT 2021","Mon Aug 16 02:32:27 GMT 2021","16945","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 02:32:34 GMT 2021","Mon Aug 16 02:32:56 GMT 2021","22318","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 02:31:45 GMT 2021","Mon Aug 16 02:32:10 GMT 2021","25384","tests","con_tc_001_test","","","","test_tc_001_registration",""
