"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 11:13:26 GMT 2021","Mon Aug 16 11:13:45 GMT 2021","18936","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 11:14:12 GMT 2021","Mon Aug 16 11:14:36 GMT 2021","24271","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 11:18:06 GMT 2021","Mon Aug 16 11:18:42 GMT 2021","35774","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 11:17:22 GMT 2021","Mon Aug 16 11:18:06 GMT 2021","44183","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
"passed","Mon Aug 16 11:18:42 GMT 2021","Mon Aug 16 11:18:54 GMT 2021","12199","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 11:14:36 GMT 2021","Mon Aug 16 11:14:56 GMT 2021","20171","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 11:13:45 GMT 2021","Mon Aug 16 11:14:05 GMT 2021","19728","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 11:14:05 GMT 2021","Mon Aug 16 11:14:12 GMT 2021","6794","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 11:14:56 GMT 2021","Mon Aug 16 11:15:26 GMT 2021","29582","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 11:15:26 GMT 2021","Mon Aug 16 11:17:22 GMT 2021","116140","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
