"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 20:51:03 GMT 2021","Mon Aug 16 20:51:10 GMT 2021","6751","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 20:51:54 GMT 2021","Mon Aug 16 20:52:24 GMT 2021","29654","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 20:50:44 GMT 2021","Mon Aug 16 20:51:03 GMT 2021","19211","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 20:55:58 GMT 2021","Mon Aug 16 20:56:10 GMT 2021","12276","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 20:51:10 GMT 2021","Mon Aug 16 20:51:34 GMT 2021","24417","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 20:55:05 GMT 2021","Mon Aug 16 20:55:41 GMT 2021","35940","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 20:52:24 GMT 2021","Mon Aug 16 20:54:20 GMT 2021","116485","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"failed","Mon Aug 16 20:55:41 GMT 2021","Mon Aug 16 20:55:58 GMT 2021","17431","tests","con_tc_010_test","","","","test_tc_010_import_data",""
"passed","Mon Aug 16 20:54:20 GMT 2021","Mon Aug 16 20:55:05 GMT 2021","44326","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
"passed","Mon Aug 16 20:51:34 GMT 2021","Mon Aug 16 20:51:54 GMT 2021","20191","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"broken","Mon Aug 16 20:50:31 GMT 2021","Mon Aug 16 20:50:44 GMT 2021","12873","tests","con_tc_001_test","","","","test_tc_001_registration",""
