"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 15 23:14:35 GMT 2021","Sun Aug 15 23:14:48 GMT 2021","12600","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Sun Aug 15 23:15:12 GMT 2021","Sun Aug 15 23:15:34 GMT 2021","22302","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Sun Aug 15 23:15:34 GMT 2021","Sun Aug 15 23:15:46 GMT 2021","12250","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Sun Aug 15 23:15:05 GMT 2021","Sun Aug 15 23:15:12 GMT 2021","6741","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Sun Aug 15 23:14:48 GMT 2021","Sun Aug 15 23:15:05 GMT 2021","17181","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
