"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 23:43:45 GMT 2021","Mon Aug 16 23:43:58 GMT 2021","12505","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 23:47:34 GMT 2021","Mon Aug 16 23:48:19 GMT 2021","44361","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
"failed","Mon Aug 16 23:48:54 GMT 2021","Mon Aug 16 23:49:12 GMT 2021","17348","tests","con_tc_010_test","","","","test_tc_010_import_data",""
"passed","Mon Aug 16 23:45:38 GMT 2021","Mon Aug 16 23:47:34 GMT 2021","116189","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"passed","Mon Aug 16 23:48:19 GMT 2021","Mon Aug 16 23:48:54 GMT 2021","35856","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 23:44:17 GMT 2021","Mon Aug 16 23:44:24 GMT 2021","6818","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 23:43:58 GMT 2021","Mon Aug 16 23:44:17 GMT 2021","19073","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 23:44:48 GMT 2021","Mon Aug 16 23:45:08 GMT 2021","20287","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 23:44:24 GMT 2021","Mon Aug 16 23:44:48 GMT 2021","24306","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 23:45:08 GMT 2021","Mon Aug 16 23:45:38 GMT 2021","29673","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 23:49:12 GMT 2021","Mon Aug 16 23:49:24 GMT 2021","12178","tests","con_tc_011_test","","","","test_tc_011_logout",""
