"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 10:57:52 GMT 2021","Mon Aug 16 10:58:22 GMT 2021","29563","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 11:00:18 GMT 2021","Mon Aug 16 11:01:02 GMT 2021","44162","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
"failed","Mon Aug 16 11:01:02 GMT 2021","Mon Aug 16 11:01:38 GMT 2021","35612","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 10:57:08 GMT 2021","Mon Aug 16 10:57:32 GMT 2021","24274","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 11:01:38 GMT 2021","Mon Aug 16 11:01:50 GMT 2021","12271","tests","con_tc_011_test","","","","test_tc_011_logout",""
"broken","Mon Aug 16 10:56:29 GMT 2021","Mon Aug 16 10:56:42 GMT 2021","12421","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 10:56:42 GMT 2021","Mon Aug 16 10:57:01 GMT 2021","19134","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 10:57:01 GMT 2021","Mon Aug 16 10:57:08 GMT 2021","6775","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 10:58:22 GMT 2021","Mon Aug 16 11:00:18 GMT 2021","116073","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"passed","Mon Aug 16 10:57:32 GMT 2021","Mon Aug 16 10:57:52 GMT 2021","20150","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
