"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 21:59:37 GMT 2021","Mon Aug 16 21:59:56 GMT 2021","19682","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 22:04:00 GMT 2021","Mon Aug 16 22:04:36 GMT 2021","36213","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 22:04:53 GMT 2021","Mon Aug 16 22:05:06 GMT 2021","12383","tests","con_tc_011_test","","","","test_tc_011_logout",""
"failed","Mon Aug 16 22:04:36 GMT 2021","Mon Aug 16 22:04:53 GMT 2021","17486","tests","con_tc_010_test","","","","test_tc_010_import_data",""
"passed","Mon Aug 16 22:00:28 GMT 2021","Mon Aug 16 22:00:48 GMT 2021","20257","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"broken","Mon Aug 16 21:59:18 GMT 2021","Mon Aug 16 21:59:37 GMT 2021","18498","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 22:00:48 GMT 2021","Mon Aug 16 22:01:18 GMT 2021","29783","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 22:01:18 GMT 2021","Mon Aug 16 22:03:15 GMT 2021","117135","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
"passed","Mon Aug 16 22:00:03 GMT 2021","Mon Aug 16 22:00:28 GMT 2021","24572","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 21:59:56 GMT 2021","Mon Aug 16 22:00:03 GMT 2021","6838","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"passed","Mon Aug 16 22:03:15 GMT 2021","Mon Aug 16 22:04:00 GMT 2021","44551","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
