"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 20:49:42 GMT 2021","Mon Aug 16 20:50:01 GMT 2021","19566","tests","con_tc_001_test","","","","test_tc_001_registration",""
"passed","Mon Aug 16 20:54:23 GMT 2021","Mon Aug 16 20:54:59 GMT 2021","36028","tests","con_tc_009_test","","","","test_tc_009_delete_content",""
"passed","Mon Aug 16 20:50:21 GMT 2021","Mon Aug 16 20:50:28 GMT 2021","6804","tests","con_tc_003_test","","","","test_tc_003_cookie",""
"failed","Mon Aug 16 20:54:59 GMT 2021","Mon Aug 16 20:55:17 GMT 2021","17430","tests","con_tc_010_test","","","","test_tc_010_import_data",""
"passed","Mon Aug 16 20:50:28 GMT 2021","Mon Aug 16 20:50:53 GMT 2021","24587","tests","con_tc_004_test","","","","test_tc_004_data_list",""
"passed","Mon Aug 16 20:50:01 GMT 2021","Mon Aug 16 20:50:21 GMT 2021","20048","tests","con_tc_002_test","","","","test_tc_002_sign_in",""
"passed","Mon Aug 16 20:51:13 GMT 2021","Mon Aug 16 20:51:43 GMT 2021","29762","tests","con_tc_006_test","","","","test_tc_006_content_creation",""
"passed","Mon Aug 16 20:53:40 GMT 2021","Mon Aug 16 20:54:23 GMT 2021","43382","tests","con_tc_008_test","","","","test_tc_008_content_modify",""
"passed","Mon Aug 16 20:50:53 GMT 2021","Mon Aug 16 20:51:13 GMT 2021","20295","tests","con_tc_005_test","","","","test_tc_005_pages_of_global_feed",""
"passed","Mon Aug 16 20:55:17 GMT 2021","Mon Aug 16 20:55:29 GMT 2021","12348","tests","con_tc_011_test","","","","test_tc_011_logout",""
"passed","Mon Aug 16 20:51:43 GMT 2021","Mon Aug 16 20:53:40 GMT 2021","116735","tests","con_tc_007_test","","","","test_tc_007_content_creation_from_input_file",""
